Name	Set	ImageFile	Type	Attribute	Rarity	Cost	Total Cost	Race	Trait	ATK	DEF	Divinity	Text
Surtr, the Sand Giant	SNV	SNV-037	Resonator	Fire	Super	{R} {R} {R} {R} {R}	5	Sand/Giant		1500	1500		Whenever this card is dealt damage => You may search your deck for a Sand resonator with total cost 3 or less and put it into the field. Then shuffle your deck. <br/>[Rune] {R} {R} {R} - [Enter] => This card deals 800 damage to each resonator.
The Three Kingdoms Partition Plan	SNV	SNV-038	Chant/Master Rune	Fire	Rare	{R} {R} {3}	5					2	You may pay {3} less to play this card if your ruler is "Fu Xi" or "Fu Xi, King of Kunlun". <br/>Separate all resonators your opponent controls into three piles. Your opponent chooses one pile and banishes the rest.
Underhanded Assassin	SNV	SNV-039	Resonator	Fire	Common	{R} {2}	3	Human		600	900		Whenever this card blocks or is blocked by a resonator => This card gains [+400/+400] until end of turn.
Zhuge Liang	SNV	SNV-040	Resonator	Fire	Super	{R} {R} {2}	4	Human/Wanderer		900	900		[Enter] => Search your deck for a card named "Pang Tong", reveal it and put it into your hand. Then shuffle your deck. <br/>[Rune] 4 - [Enter] => You may put a card named "Pang Tong" from your hand into the field. <br/>[Rune] 4 - {Rest}, banish another resonator: Cancel target chant spell.
Antorite, Sealed God of the Riverbed	SNV	SNV-041	Resonator	Water	Rare	{U} {U} {U}	3	Mermaid		900	700		Other Mermaid resonators you control gain [+400/-200].
Bloodberry	SNV	SNV-042	Resonator	Water	Common	{U} {2}	3	Vegetation		800	700		[Awakening] {U} {U} {U}: [Enter] => Put target resonator on top of its owner's deck.
Diverse Evolution	SNV	SNV-043	Chant/Rune	Water	Uncommon	{U} {U} {1}	3					2	You may pau {U} less to play this card from a rune area. <br/>Target up to X resonators you control, where X is the number of different races among resonators you control. Put a [+100/+100] counter on the first. Then repeat this process for each target past the first, adding a [+100/+100] counter each time. (For example, put two counters on the second, three on the third, four on the fourth, etc.)
Guinevere, the Mobility Queen	SNV	SNV-044	Resonator	Water	Super	{U}	1	Human/Machine/Wanderer		0	200		[Enter] => Put two [+100/+100] counters on target Machine resonator. <br/>Banish a Machine: Put two [+100/+100] counters on this card. <br/>{Rest}, remove a total of twelve [+100/+100] counters from any number of Machine resonators you control: Search your deck for a card named "Super Mobile Fortress Camelot" and put it into the field. Then shuffle your deck.
Guinevere's Imperial Guard	SNV	SNV-045	Resonator	Water	Common	{U} {2}	3	Machine		600	600		[Flying]
Mermaid of the Misty Spring	SNV	SNV-046	Resonator	Water	Common	{U} {1}	2	Mermaid		200	800		At the end of your turn => Foresee 1.
Mordred, the Operator	SNV	SNV-047	Resonator	Water	Uncommon	{U} {U} {2}	4	Machine		600	600		[Enter] => Put a [+100/+100] counter on any number of target Machine resonators. <br/>{Rest}, {U}: Recover another target Machine resonator and put a [+100/+100] counter on it.
Mutation Slime	SNV	SNV-048	Resonator	Water	Uncommon	{U} {U} {2}	4	Ooze		900	1000		This card gains all races of resonators in your graveyard. <br/>{U}: This card gains [+200/-200] until end of turn. <br/>{U}: This card gains [-200/+200] until end of turn. <br/>{U}: Return this card to its owner's hand.
Mystery Box	SNV	SNV-049	Chant/Rune	Water	Rare	{U} {U} {U} {4}	7					3	Reveal the top five cards of your deck. Put all non-chant cards from among them into the field and the rest into your graveyard. If this card was awakened, players cannot chase to it. <br/>[Awakening] Discard your hand.
Parallel World Schrodinger	SNV	SNV-050	Resonator	Water	Common	{U}	1	Fairy Tale/Cat		300	300		You may have any number of copies of this card in your deck. <br/>Remove three cards named "Parallel World Schrodinger" in your graveyard from the game: Reveal the top card of your deck. If it's a resonator, put it into the field.
Precision-Guided Munition, Sky Beat	SNV	SNV-051	Resonator	Water	Uncommon	{U} {U} {1}	3	Machine		800	800		[Flying] <br/>Machines you control with a [+100/+100] counter on them gain [Flying].
Ruins Submerged Beneath the Misty Spring	SNV	SNV-052	Addition (Ancient Ruins)	Water	Uncommon	{U}	1		Ancient Ruins				Whenever you play a water resonator => Put a mist counter on this card. <br/>Remove two mist counters from this card: Target resonator gains [Barrier] (Chant) until end of turn.
Schrodinger, the Harlequin of Phenomena	SNV	SNV-053	Resonator	Water	Super	{U} {3}	4	Fairy Tale/Wanderer		0	100		[Enter] => Remove target resonator in a graveyard from the game. If you do, this card becomes a copy of it and gains <Mask of Mimesis>. <br/><Mask of Mimesis> {Rest}: Remove target resonator in a graveyard from the game. If you do, this card becomes a copy of it and gains <Mask of Mimesis>.
Shackles of Mist	SNV	SNV-054	Chant	Water	Common	{U} {1}	2						[Quickcast] <br/>Rest target resonator. Rest up to one second target resonator if this card was awakened. <br/>[Awakening] {U} {U} {1}
Sky Round Musketeer	SNV	SNV-055	Resonator	Water	Common	{U} {1}	2	Machine		600	400		[Enter] => Put a [+100/+100] counter on this card.
Skyfall	SNV	SNV-056	Chant	Water	Common	{U}	1						This card gains [Quickcast] as long as it's in your hand and you control a Machine resonator. <br/>Return target resonator to its owner's hand.
Skynet	SNV	SNV-057	Chant/Master Rune	Water	Rare	{U} {U} {3}	5					2	You may pay {2} less to play this card if your J/ruler is "Arthur" or "Arthur, King of Machines". <br/>This card deals damage equal to the total ATK of Machine resonators you control divided as you choose to any number of target resonators your opponent controls.
Super Mobile Fortress Camelot	SNV	SNV-058	Resonator	Water	Rare	{U} {U} {4}	6	Machine		1200	1200		[Flying] <br/>[Enter] => Return up to two target resonators your opponent controls to their owners' hands. If you control a card named "Guinevere, the Mobility Queen", destroy those resonators instead.
Teleport	SNV	SNV-059	Chant/Rune	Water	Uncommon	{U} {U} {2}	4					2	Reveal the top card of your deck. If it's a resonator, put it into the field.
Wheel Drone	SNV	SNV-060	Resonator	Water	Common	{U} {4}	5	Machine		1200	900		{U} {U}: This card gains [Flying] until end of turn.
Ancient Ruins Researcher	SNV	SNV-061	Resonator	Wind	Common	{G} {G} {3}	5	Mimi Tribe		900	1100		[Enter] => Draw a card.
Bullet Ball Thunder Clap	SNV	SNV-062	Chant/Rune	Wind	Rare	{G}	1					2	[Quickcast] <br/>As an additional cost to play this card, banish a resonator. <br/>This card deals damage equal to the banished resonator's ATK to target resonator. If this card was awakened, it deals that much damage to that target and to your opponent instead. <br/>[Awakening] {G} {G} {1}
Bunbuku, the Legendary Tea Kettle	SNV	SNV-063	Resonator	Wind	Rare	{G} {2}	3	Beast		300	1200		When this card is put into a graveyard from the field => You may put a Beast from your hand into the field.
Chamimi's Contemplation	SNV	SNV-064	Chant	Wind	Common	{G} {1}	2						As you play this card, you may rest a recovered Mimi Tribe you control. If you do, you pay {G} {1} less to play this card. <br/>Target resonator gains [+300/+300] until end of turn. Draw a card.
Flying Squirrel	SNV	SNV-065	Resonator	Wind	Common	{G} {2}	3	Beast		800	800		{g}: This card gains [0/-200] and [Flying] until end of turn.
Fox Shikigami	SNV	SNV-066	Resonator	Wind	Common	{G} {2}	3	Shikigami		700	900		You may pay {1} less to play this card if you control a Yin-Yang Master.
Friend Calling Whistle	SNV	SNV-067	Chant/Rune	Wind	Uncommon	{G}	1					1	[Quickcast] <br/>You pay {1} more to play this card from a rune area. <br/>Search your deck for a Ninja, reveal it and put it into your hand. Then shuffle your deck.
Guardian Beast of Nature	SNV	SNV-068	Resonator	Wind	Common	{G} {G}	2	Beast		600	600		This card gains [+100/+100] as long as you control another Beast.
Liz, Sealed God of the Island	SNV	SNV-069	Resonator	Wind	Rare	{G} {G} {6}	8	Elf		1000	1500		You may pay {1} less to play this card for each resonator you control. <br/>Other resonators you control gain [Barrier] (Resonator). <br/>[Rune] 3 - [Enter] => Put target non-magic stone, non-resonator card from your graveyard into your hand.
Magellanica, the Ball Warrior	SNV	SNV-070	Resonator	Wind	Super	{G} {G} {G} {1}	4	Mimi Tribe		1200	1200		Play this card only if you control a Mimi Tribe. <br/>[Enter] => This card gains [Swiftness]. [Precision], and cannot attack players until end of turn. <br/>Rest a recovered resonator you control: This card gains [+200/+200] until end of turn.
Molmol, King of Rare Beasts	SNV	SNV-071	Resonator	Wind	Uncommon	{G} {G} {5}	7	Beast		2000	2000		[Enter] => Destroy target non-magic stone entity with total cost 4 or less. <br/>Whenever this card attacks => Other Beasts you control gain [+500/+500] until end of turn.
Ninja Students	SNV	SNV-072	Resonator	Wind	Common	{G}	1	Cat/Ninja		400	300		[First Strike] <br/>{G} {G} {1}: Put a [+100/+100] counter on this card.
Rikyu, Cat Tongued Tea Master	SNV	SNV-073	Resonator	Wind	Super	{G} {G} {3}	5	Cat/Wanderer		1100	1200		[Enter] => Look at the top three cards of your deck. You may put a wind resonator with total cost 3 or less from among them into the field. Put the rest on the bottom of your deck in a random order. <br/>Whenever another wind resonator enters the field under your control => Put a tea counter on this card. <br/>When this card is put into a graveyard from the field => You gain 400 life for each tea counter that was on it. If there were three or more tea counters, draw a card.
Ruins Beneath the Flora	SNV	SNV-074	Addition (Ancient Ruins)	Wind	Uncommon	{G} {G} {2}	4		Ancient Ruins				At the end of your turn => Reveal the top card of your magic stone deck. If it's a wind magic stone, put it into the field.
Seimei's Disciple	SNV	SNV-075	Resonator	Wind	Common	{G} {1}	2	Cat/Yin-Yang Master		500	600		{Rest}: Target resonator gains [+100/-100] until end of turn. If there are three or more runes revealed from your rune area, it gains [+200/-200] instead.
Storm Cat	SNV	SNV-076	Chant	Wind	Common	{G} {G} {4}	6						You may pay {1} less to play this card if you control a Ninja. <br/>This card deals 2000 damage to target resonator.
Table Flip	SNV	SNV-077	Chant/Master Rune	Wind	Rare	{G} {3}	4					2	[Quickcast] <br/>You may pay {3} less to play this card if your J/ruler is "Hanzo" or "Hanzo, Chief of the Kouga". <br/>Choose one - If target resonator would deal damage this turn, prevent it, then this card deals 800 damage to that resonator instead; or if target chant spell would deal damage this turn, prevent it, then this card deals 500 damage to your opponent instead.
The Six Jizo Statues	SNV	SNV-078	Resonator	Wind	Uncommon	{G}	1	Youkai		600	600		This card cannot attack or block unless there are six or more [+100/+100] counters on it. <br/>At end of turn => Put a [+100/+100] counter on this card.
The Unsealing of God	SNV	SNV-079	Chant/Rune	Wind	Uncommon	{G}	1					1	Destroy target addition.
Tsunade, Brawny Cat Ninja	SNV	SNV-080	Resonator	Wind	Uncommon	{G} {G}	2	Cat/Ninja		800	500		[Barrier] (Chant)
Amon, Conspirer of Atrocities	SNV	SNV-081	Resonator	Darkness	Rare	{B} {B} {3}	5	Demon		1200	1200		[Enter] => Pay any amount of life. Target resonator gains [-100/-100] for each 100 life paid this way until end of turn.
Astema, the Returnee of Hatred	SNV	SNV-082	Resonator	Darkness	Super	{B} {B} {1}	3	Fallen Angel/Wanderer		700	600		[Flying] <br/>[Enter] => Your opponent loses 500 life. If there are three or more runes revealed from your rune area, you gain 500 life. <br/>Pay 400 life: Draw a card. Play this ability only during your turn and only once per turn. <br/>Pay 1000 life: Your opponent loses 500 life. Play this ability only during your turn and only once per turn.
Athenia, Sealed God of the Ruins	SNV	SNV-083	Resonator	Darkness	Super	{B} {B} {3}	5						
Black-Eyed Angel	SNV	SNV-084	Resonator	Darkness	Common	{B} {B} {3}	5	Fallen Angel		1300	700		[Flying]
Caspiel, the Fallen Angel of Rebellion	SNV	SNV-085	Resonator	Darkness	Uncommon	{B} {B} {4}	6	Fallen Angel		1200	1000		[Flying] <br/>[Enter] => Each player banishes a resonator.
Chaining Hatred	SNV	SNV-086	Chant/Rune	Darkness	Uncommon	{B} {B} {3}	5					2	You pay {B} more to play this card from a rune area. <br/>Target three resonators. The first gains [-800/-800], the second gains [-600/-600], and the third gains [-400/-400] until end of turn.
Contract Demon	SNV	SNV-087	Resonator	Darkness	Uncommon	{B} {B}	2	Demon		600	600		[Enter] => You lose 400 life. Draw a card. <br/>[Rune] {B} {B} - This card gains [+200/+200].
Corrupt Teachings	SNV	SNV-088	Chant	Darkness	Common	{B} {B} {2}	4						[Quickcast] <br/>Target resonator you control gains [+800/0] and target resonator your opponent controls gains [0/-800] until end of turn.
Dark Soldier of the Fallen	SNV	SNV-089	Resonator	Darkness	Common	{B} {1}	2	Human		600	400		[First Strike]
Dragon Zombie	SNV	SNV-090	Resonator	Darkness	Uncommon	{B} {B} {2}	4	Dragon/Zombie		600	600		[Enter] => Target resonator gains [-600/-600] until end of turn.
Graveyard Vampire	SNV	SNV-091	Resonator	Darkness	Common	{B} {B} {2}	4	Vampire		600	700		[Flying] <br/>Remove two resonators in your graveyard from the game: This card gains [+400/+400] until end of turn. Play this ability only once per turn.
March of the Dead	SNV	SNV-092	Chant	Darkness	Common	{B}	1						Put target resonator with total cost 2 or less from your graveyard into the field. Put up to one second target resonator with total cost 2 or less from your graveyard into the field if this card was awakened. <br/>[Awakening] {B} {B}
Orchard of the Immortals	SNV	SNV-093	Addition (Ancient Ruins)	Darkness	Uncommon	{B} {B} {B}	3		Ancient Ruins				Whenever a non-token resonator is put into a graveyard from the field => Put a fruit counter on this card. <br/>Remove three fruit counters from this card: Put a [800/800] darkness Lich resonator token into the field.
Orpheus, the Immortal Player	SNV	SNV-094	Resonator	Darkness	Rare	{B} {B}	2	Zombie		600	500		{B}, remove a resonator in your graveyard from the game: Put a [200/200] darkness Zombie resonator token into the field.
Power of Immortality	SNV	SNV-095	Chant/Rune	Darkness	Uncommon	{B} {1}	2					1	[Quickcast] <br/>you may pay {1} less to play this card from a rune area. <br/>Target resonator gains [+400/0] and "When this card is put into a graveyard from the field => Put it into the field rested under its owner's control." until end of turn.
Ruined Earth	SNV	SNV-096	Chant/Rune	Darkness	Rare	{B} {B} {3}	5					2	You may pay {1} less to play this card from a rune area. <br/>Destroy target magic stone. Resonators your opponent controls gain [-400/-400] until end of turn.
Ruins Devil	SNV	SNV-097	Resonator	Darkness	Common	{B} {3}	4	Demon		1000	600		
Sewing Zombie	SNV	SNV-098	Resonator	Darkness	Common	{B} {B} {1}	3	Zombie		400	400		When this card is put into a graveyard from the field => Put two [200/200] darkness Zombie resonator tokens into the field.
Soul Prison	SNV	SNV-099	Chant/Master Rune	Darkness	Rare	{B} {B} {4}	6					3	You may pay {3} less to play this card if your J/ruler is "Lucifer" or "Lucifer, Fallen Angel of Sorrow". <br/>Target resonator gains [0/-1000] until end of turn. When it is put into a graveyard this turn => Put it into the field under your control.
Specter of the Abyss	SNV	SNV-100	Resonator	Darkness	Common	{B} {B} {1}	3	Specter		700	600		[Flying] <br/>[Enter] => Your opponent discards a card.
Ancient Moon Dragon	AOA	AOA-001	Resonator	Light	Common	{W} {W} {2}	4	Dragon		800	800		[Flying] <br/>This card gains [+400/+400] as long as you control a moon.
Arcana Collector	AOA	AOA-002	Resonator	Light	Common	{W}	1	Wererabbit		300	300		This card gains [+400/+400] and [Barrier] as long as you control four or more light magic stones.
Ares, Knight God Emperor of the Burial Grounds	AOA	AOA-003	Resonator	Light	Super	{W} {W} {2}	4	Deity		1000	800		[Enter] => Produce {W} {W}. <br/>Other light resonators you control gain [+200/+200]. As long as there are four or more runes revealed from your rune area, they gain [+400/+400] instead.
Ballista Warrior	AOA	AOA-004	Resonator	Light	Common	{W} {W} {4}	6	Human		700	1700		At the end of your turn => Recover this card.
Brunhild's Shield	AOA	AOA-005	Resonator	Light	Common	{W}	1	Valkyrie		0	700		[Flying] <br/>Banish this card: Target resonator gains [Eternal] until end of turn.
Delphinius, Flying Giant Beast in the Sky	AOA	AOA-006	Resonator	Light	Rare	{W} {W} {W} {3}	6	Beast		1300	1500		[Flying] <br/>[Enter] => Destroy all resonators with [Flying] your opponent controls.
Holy Knight Burial Grounds	AOA	AOA-007	Addition (Ancient Ruins)	Light	Uncommon	{W}	1		Ancient Ruins				Whenever a resonator you control is put into a graveyard from the field => Put a grave-post counter on this card. <br/>Resonators you control gain [+200/+200] as long as there are three or more grave-post counters on this card. As long as there are seven or more grave-post counters on this card, they gain [+400/+400] instead.
